# mode ffa
# 8 plies, depth 4, band spread <=250, setup all, seed 1
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','f12:f11','l7:k7')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/4,yP,1,yP,yP,yP,yP,yP,3/14/bR,bP,1,yP,1,yP,6,gP,gR/bN,1,bP,9,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,1,bP,7,gP,2,gQ/bB,bP,9,gN,gP,gB/bN,bP,10,gP,1/bR,bP,10,gP,gR/4,rP,5,rP,3/3,rP,1,rP,rP,rP,rP,rP,4/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,5/9,yP,yP,3/bR,bP,8,gP,2,gR/bN,3,bP,7,gP,gN/bB,bP,10,gP,gB/bK,bP,10,gP,gQ/bQ,bP,10,gP,gK/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,6,rP,2,gP,1,gR/7,rP,6/3,rP,rP,rP,rP,2,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
modern R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/4,yP,yP,yP,1,yP,yP,yP,3/7,yP,6/bR,bP,1,yP,6,gP,2,gR/bN,bP,10,gP,1/1,bP,9,gN,gP,gB/bQ,2,bP,8,gP,gK/bK,bP,10,gP,gQ/bB,bP,1,bB,8,gP,gB/bN,bP,10,gP,gN/bR,bP,10,gP,gR/5,rN,2,rP,5/3,rP,rP,rP,rP,rP,1,rP,rP,3/3,rR,1,rB,rQ,rK,rB,rN,rR,3
modern R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','','l8:k8')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,1,yP,yP,1,yP,yP,yP,3/4,yP,2,yP,6/bR,bP,10,gP,gR/1,bP,10,gP,gN/bB,bP,bN,9,gP,gB/bQ,bP,8,gP,2,gK/bK,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,bP,9,gP,1,gN/bR,1,bP,2,rP,6,gP,gR/4,rP,9/3,rP,2,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('i3:i4','','h12:h11','')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/4,yP,yP,yP,1,yP,yP,yP,3/14/bR,bP,1,yP,3,yP,4,gP,gR/bN,1,bP,9,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,bP,9,gP,1,gB/bN,1,bP,9,gP,gN/bR,bP,6,rP,2,gP,1,gR/5,rP,8/3,rP,rP,1,rP,rP,1,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('d3:d4','','h12:h11','l6:k6')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,1,yP,yP,1,yP,yP,yP,3/4,yP,9/bR,bP,5,yP,4,gP,gR/bN,bP,8,gP,2,gN/bB,bP,10,gP,gB/bK,bP,10,gP,gK/bQ,bP,10,gP,gQ/bB,1,bP,7,gP,2,gB/bN,bP,10,gP,gN/bR,1,bP,rP,8,gP,gR/5,rP,8/4,rP,1,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rK,rQ,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-2-{'enPassant':('','c8:d8','','')}-3,yR,1,yB,yK,yQ,yB,1,yR,3/3,yP,yP,yP,yP,yP,yP,yP,yP,3/3,yN,6,yN,3/bR,bP,9,gB,gP,gR/bN,bP,9,gP,1,gN/bB,bP,10,gP,1/bK,2,bP,8,gP,gQ/bQ,bP,10,gP,gK/bB,bP,10,gP,gB/bN,1,bP,9,gP,gN/bR,bP,8,rN,1,gP,gR/14/3,rP,rP,rP,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,1,rR,3
modern R-0,0,0,0-1,1,0,1-1,1,0,1-0,0,0,0-0-{'enPassant':('','','','l10:k10')}-3,yR,yN,yB,1,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yK,yP,yP,yP,3/7,yP,6/bR,1,bP,9,gP,gR/bN,bP,8,gP,2,gN/bB,bP,8,gP,2,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,2,bP,8,gP,gB/bN,bP,10,gP,gN/bR,bP,10,gP,gR/14/3,rP,rP,rP,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','c7:d7','','')}-3,yR,1,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,1,yP,yP,yP,3/5,yN,1,yP,6/bR,1,bP,8,gP,1,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gQ/bK,2,bP,8,gP,gK/bB,bP,10,gP,gB/bN,bP,9,gP,1,gN/bR,bP,10,gP,gR/3,rN,2,rP,7/3,rP,rP,rP,1,rP,rP,rP,rP,3/3,rR,1,rB,rQ,rK,rB,rN,rR,3
modern R-0,0,0,0-1,1,0,1-1,1,1,1-0,0,0,0-2-{'enPassant':('','c6:d6','','')}-4,yN,yB,yK,yQ,yB,yN,yR,3/4,yP,yP,yP,yP,yP,yP,yP,3/3,yR,10/bR,bP,1,yP,6,gP,2,gR/bN,2,bP,8,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gK/bK,bP,10,gP,gQ/bB,2,bP,7,gN,gP,gB/bN,bP,10,gP,1/bR,bP,7,rP,2,gP,gR/3,rN,10/3,rP,rP,rP,rP,rP,rP,1,rP,3/3,rR,1,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','j12:j11','l8:k8')}-3,yR,1,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,1,yP,3/5,yN,8/bR,1,bP,6,yP,2,gP,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,8,gP,2,gQ/bK,bP,10,gP,gK/bB,bP,9,gP,1,gB/1,bP,10,gP,gN/bR,bP,bN,9,gP,gR/3,rP,4,rN,5/4,rP,rP,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,1,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-2-{'enPassant':('','c10:d10','','')}-3,yR,1,yB,yQ,yK,yB,yN,yR,3/4,yP,yP,yP,yP,yP,yP,yP,3/3,yN,10/bR,bP,1,yP,7,gN,gP,gR/bN,2,bP,8,gP,1/bB,bP,8,gP,2,gB/bQ,bP,10,gP,gK/bK,2,bP,8,gP,gQ/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,1,rP,8,gP,gR/5,rP,8/4,rP,1,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-{'enPassant':('i3:i4','c5:d5','i12:i11','')}-3,yR,1,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,1,yP,yP,3/3,yN,10/bR,1,bP,5,yP,3,gP,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bK,bP,8,gP,2,gK/bQ,bP,10,gP,gQ/bB,bP,9,gN,gP,gB/bN,2,bP,8,gP,1/bR,bP,2,rP,3,rP,3,gP,gR/14/3,rP,1,rP,rP,rP,1,rP,rP,3/3,rR,rN,rB,rK,rQ,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-1-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,2,yP,3/8,yP,5/bR,bP,7,yP,2,gP,gR/bN,bP,10,gP,gN/bB,bP,9,gP,1,gB/bK,bP,10,gP,gQ/bQ,1,bP,9,gP,gK/bB,bP,10,gP,gB/bN,bP,10,gP,1/bR,1,bP,8,gN,gP,gR/3,rP,1,rN,8/4,rP,rP,rP,rP,rP,rP,rP,3/3,rR,1,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('d3:d4','c6:d6','e12:e11','l6:k6')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,1,yP,yP,yP,1,yP,yP,3/14/bR,bP,2,yP,3,yP,2,gP,1,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gQ/bK,1,bP,9,gP,gK/bB,2,bP,6,gP,2,gB/bN,bP,10,gP,gN/bR,bP,1,rP,8,gP,gR/7,rP,6/4,rP,rP,rP,1,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
byg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','c9:d9','h12:h11','')}-3,yR,1,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,1,yP,yP,yP,3/3,yN,10/bR,bP,5,yP,4,gP,gR/bN,bP,10,gP,gN/bB,2,bP,8,gP,gB/bQ,bP,9,gP,1,gK/bK,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,2,bP,8,gP,1/bR,bP,9,gN,gP,gR/3,rN,6,rP,3/3,rP,rP,rP,rP,rP,rP,rP,4/3,rR,1,rB,rQ,rK,rB,rN,rR,3
rg R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','c9:d9','','')}-3,yR,yN,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,1,yP,yP,1,yP,yP,3/5,yP,2,yP,5/bR,bP,10,gP,gR/bN,bP,10,gP,gN/bB,2,bP,8,gP,gB/bK,bP,9,gP,1,gK/bQ,bP,10,gP,gQ/bB,bP,10,gP,gB/bN,bP,9,gP,1,gN/bR,1,bP,1,rP,7,gP,gR/5,rP,8/3,rP,2,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rK,rQ,rB,rN,rR,3
by R-0,0,0,0-1,1,1,0-1,1,1,0-0,0,0,0-1-{'enPassant':('','c7:d7','','')}-3,yR,yN,yB,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,yP,1,yP,1,yP,3/9,yP,4/bR,bP,bN,4,yP,4,gP,gR/1,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gQ/bK,2,bP,7,gP,gK,1/bB,bP,10,gP,gB/bN,bP,10,gP,gN/bR,bP,10,gP,gR/14/3,rP,rP,rP,rP,rP,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
classic R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('h3:h4','c8:d8','','')}-3,yR,1,yB,yK,yQ,yB,yN,yR,3/3,yP,yP,yP,yP,yP,yP,yP,4/3,yN,6,yP,3/bR,bP,10,gP,gR/bN,bP,10,gP,gN/bB,bP,9,gP,1,gB/bK,2,bP,7,gP,1,gQ/bQ,bP,10,gP,gK/bB,bP,10,gP,gB/bN,2,bP,8,gP,gN/bR,bP,5,rP,4,gP,gR/6,rP,7/3,rP,rP,rP,2,rP,rP,rP,3/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
by R-0,0,0,0-1,1,1,1-1,1,1,1-0,0,0,0-0-{'enPassant':('','','','l11:k11')}-3,yR,yN,1,yQ,yK,yB,yN,yR,3/3,yP,yP,yP,1,yP,yP,yP,yP,3/7,yB,6/bR,bP,4,yP,3,gP,2,gR/bN,bP,10,gP,gN/bB,bP,10,gP,gB/bQ,bP,10,gP,gQ/bK,bP,9,gP,1,gK/bB,1,bP,9,gP,gB/1,bP,10,gP,gN/bR,bP,bN,7,rP,1,gP,gR/4,rP,9/3,rP,1,rP,rP,rP,rP,rP,4/3,rR,rN,rB,rQ,rK,rB,rN,rR,3
